iMax B6 mini;Outlet A
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh];Temperature Ext [°C];Temperature Int [°C];BatteryRi [m?]
00:04:26.000;5.14;0.30;9;0.0;36.0;0.00
00:04:27.000;5.14;0.31;9;0.0;36.0;0.00
00:04:28.000;5.14;0.30;9;0.0;36.0;0.00
00:04:29.000;5.14;0.30;9;0.0;36.0;0.00
00:04:30.000;5.14;0.31;9;0.0;36.0;0.00
00:04:31.000;5.14;0.30;9;0.0;36.0;0.00
00:04:32.000;5.14;0.30;9;0.0;36.0;0.00
00:04:33.000;5.14;0.30;9;0.0;36.0;0.00
00:04:34.000;5.14;0.30;9;0.0;36.0;0.00
00:04:35.000;5.14;0.31;9;0.0;36.0;0.00
00:04:36.000;5.14;0.31;10;0.0;36.0;0.00
00:04:37.000;5.14;0.30;10;0.0;36.0;0.00
00:04:38.000;5.14;0.30;10;0.0;36.0;0.00
00:04:39.000;5.14;0.31;10;0.0;36.0;0.00
00:04:40.000;5.14;0.30;10;0.0;36.0;0.00
00:04:41.000;5.14;0.30;10;0.0;36.0;0.00
00:04:42.000;5.14;0.30;10;0.0;36.0;0.00
00:04:43.000;5.14;0.30;10;0.0;36.0;0.00
00:04:44.000;5.14;0.30;10;0.0;36.0;0.00
00:04:45.000;5.14;0.30;10;0.0;36.0;0.00
00:04:46.000;5.14;0.31;10;0.0;36.0;0.00
00:04:47.000;5.14;0.30;10;0.0;36.0;0.00
00:04:48.000;5.14;0.30;11;0.0;36.0;0.00
00:04:49.000;5.14;0.31;11;0.0;36.0;0.00
00:04:50.000;5.14;0.31;11;0.0;36.0;0.00
00:04:51.000;5.14;0.31;11;0.0;36.0;0.00
00:04:52.000;5.14;0.30;11;0.0;36.0;0.00
00:04:53.000;5.14;0.30;11;0.0;36.0;0.00
00:04:54.000;5.14;0.30;11;0.0;36.0;0.00
00:04:55.000;5.14;0.30;11;0.0;36.0;0.00
00:04:56.000;5.13;0.30;11;0.0;36.0;0.00
00:04:57.000;5.14;0.31;11;0.0;36.0;0.00
00:04:58.000;5.14;0.31;11;0.0;36.0;0.00
00:04:59.000;5.14;0.30;11;0.0;36.0;0.00
00:05:00.000;5.14;0.30;12;0.0;36.0;0.00
00:05:01.000;5.14;0.30;12;0.0;36.0;0.00
00:05:02.000;5.14;0.30;12;0.0;36.0;0.00
00:05:03.000;5.14;0.30;12;0.0;36.0;0.00
00:05:04.000;5.14;0.30;12;0.0;36.0;0.00
00:05:05.000;5.14;0.30;12;0.0;36.0;0.00
00:05:06.000;5.14;0.30;12;0.0;36.0;0.00
00:05:07.000;5.14;0.30;12;0.0;36.0;0.00
00:05:08.000;5.14;0.31;12;0.0;36.0;0.00
00:05:09.000;5.14;0.30;12;0.0;36.0;0.00
00:05:10.000;5.14;0.31;12;0.0;36.0;0.00
00:05:11.000;5.14;0.30;12;0.0;36.0;0.00
00:05:12.000;5.14;0.31;13;0.0;36.0;0.00
00:05:13.000;5.14;0.30;13;0.0;36.0;0.00
00:05:14.000;5.14;0.30;13;0.0;36.0;0.00
00:05:15.000;5.14;0.30;13;0.0;36.0;0.00
00:05:16.000;5.14;0.30;13;0.0;36.0;0.00
00:05:17.000;5.14;0.32;13;0.0;36.0;0.00
00:05:18.000;5.14;0.30;13;0.0;36.0;0.00
00:05:19.000;5.14;0.30;13;0.0;36.0;0.00
00:05:20.000;5.14;0.30;13;0.0;36.0;0.00
00:05:21.000;5.14;0.30;13;0.0;36.0;0.00
00:05:22.000;5.14;0.31;13;0.0;36.0;0.00
00:05:23.000;5.14;0.30;13;0.0;36.0;0.00
00:05:24.000;5.14;0.30;14;0.0;36.0;0.00
00:05:25.000;5.14;0.30;14;0.0;36.0;0.00
00:05:26.000;5.14;0.30;14;0.0;36.0;0.00
00:05:27.000;5.14;0.30;14;0.0;36.0;0.00
00:05:28.000;5.14;0.30;14;0.0;36.0;0.00
00:05:29.000;5.14;0.31;14;0.0;36.0;0.00
00:05:30.000;5.14;0.30;14;0.0;36.0;0.00
00:05:31.000;5.14;0.30;14;0.0;36.0;0.00
00:05:32.000;5.14;0.30;14;0.0;36.0;0.00
00:05:33.000;5.14;0.30;14;0.0;36.0;0.00
00:05:34.000;5.14;0.30;14;0.0;36.0;0.00
00:05:35.000;5.14;0.30;14;0.0;36.0;0.00
00:05:36.000;5.14;0.31;15;0.0;36.0;0.00
00:05:37.000;5.14;0.30;15;0.0;36.0;0.00
00:05:38.000;5.14;0.30;15;0.0;36.0;0.00
00:05:39.000;5.14;0.31;15;0.0;36.0;0.00
00:05:40.000;5.14;0.30;15;0.0;36.0;0.00
00:05:41.000;5.14;0.30;15;0.0;36.0;0.00
00:05:42.000;5.14;0.30;15;0.0;36.0;0.00
00:05:43.000;5.14;0.30;15;0.0;36.0;0.00
00:05:44.000;5.14;0.30;15;0.0;36.0;0.00
00:05:45.000;5.14;0.31;15;0.0;35.0;0.00
00:05:46.000;5.14;0.31;15;0.0;35.0;0.00
00:05:47.000;5.14;0.30;15;0.0;35.0;0.00
00:05:48.000;5.14;0.30;16;0.0;35.0;0.00
00:05:49.000;5.14;0.30;16;0.0;35.0;0.00
00:05:50.000;5.14;0.31;16;0.0;35.0;0.00
00:05:51.000;5.14;0.31;16;0.0;35.0;0.00
00:05:52.000;5.14;0.32;16;0.0;35.0;0.00
00:05:53.000;5.13;0.31;16;0.0;35.0;0.00
00:05:54.000;5.13;0.31;16;0.0;35.0;0.00
00:05:55.000;5.13;0.30;16;0.0;35.0;0.00
